# Constructed from biom file
#OTU ID	JRD_01_16S_18041465	JRD_02_16S_18041466	JRD_03_16S_18041467	JRD_04_16S_18041468	JRD_05_16S_18041469	JRD_06_16S_18041470	JRD_07_16S_18041471	JRD_08_16S_18041472	JRD_09_16S_18041473	JRD_10_16S_18041474	JRD_11_16S_18041475	JRD_12_16S_18041476	JRD_13_16S_18041477	JRD_14_16S_18041478	JRD_15_16S_18041479	JRD_16_16S_18041480	JRD_17_16S_18041481	JRD_18_16S_18041482	JRD_19_16S_18041483	JRD_20_16S_18041484	JRD_21_16S_18041485	JRD_22_16S_18041486	JRD_23_16S_18041487	JRD_24_16S_18041488	JRD_25_16S_18041489	JRD_26_16S_18041490	JRD_27_16S_18041491	JRD_28_16S_18041492	JRD_29_16S_18041493	JRD_30_16S_18041494	ConsensusLineage
OTU_85	69.0	61.0	69.0	72.0	47.0	29.0	17.0	8.0	51.0	7.0	66.0	70.0	62.0	49.0	86.0	25.0	38.0	47.0	54.0	28.0	27.0	35.0	26.0	57.0	59.0	26.0	20.0	35.0	68.0	28.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria
OTU_116	12.0	6.0	125.0	37.0	33.0	0.0	0.0	0.0	0.0	0.0	24.0	1.0	87.0	20.0	51.0	0.0	0.0	0.0	0.0	0.0	24.0	14.0	2.0	1.0	21.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__
OTU_119	106.0	133.0	52.0	62.0	67.0	13.0	7.0	3.0	89.0	3.0	105.0	88.0	115.0	111.0	74.0	4.0	32.0	8.0	131.0	5.0	19.0	103.0	60.0	74.0	111.0	2.0	2.0	1.0	2.0	33.0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-3; o__; f__; g__; s__
OTU_30	387.0	283.0	200.0	38.0	77.0	2.0	0.0	0.0	5.0	0.0	86.0	86.0	93.0	44.0	94.0	1.0	0.0	4.0	10.0	0.0	115.0	92.0	149.0	112.0	170.0	0.0	0.0	4.0	1.0	1.0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__
OTU_10	86.0	124.0	133.0	312.0	118.0	187.0	185.0	10.0	290.0	9.0	404.0	151.0	197.0	172.0	310.0	97.0	148.0	235.0	204.0	189.0	93.0	122.0	127.0	110.0	126.0	74.0	69.0	133.0	33.0	91.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae
OTU_15	523.0	371.0	245.0	434.0	282.0	60.0	136.0	49.0	62.0	33.0	426.0	272.0	461.0	265.0	471.0	102.0	88.0	124.0	95.0	223.0	274.0	137.0	196.0	216.0	246.0	17.0	74.0	59.0	33.0	163.0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__
OTU_236	22.0	9.0	2.0	4.0	1.0	16.0	6.0	3.0	14.0	2.0	8.0	6.0	7.0	4.0	9.0	2.0	15.0	2.0	10.0	10.0	4.0	4.0	8.0	11.0	28.0	2.0	0.0	18.0	20.0	17.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__
OTU_2044	5.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	k__Bacteria
OTU_728	9.0	16.0	8.0	14.0	7.0	2.0	0.0	1.0	8.0	0.0	12.0	11.0	13.0	24.0	22.0	1.0	0.0	0.0	8.0	0.0	0.0	7.0	5.0	5.0	17.0	0.0	1.0	0.0	0.0	1.0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-3; o__; f__; g__; s__
OTU_41	349.0	62.0	222.0	49.0	34.0	2.0	0.0	0.0	5.0	0.0	30.0	19.0	66.0	45.0	58.0	0.0	0.0	0.0	3.0	0.0	45.0	44.0	18.0	21.0	39.0	0.0	0.0	0.0	0.0	1.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales
